edge,includes,includedby,sum
/media/ullmann/hdd/research/engines/Piccolo/engine/source/runtime/function/physics/physics_system.cpp,5,0,5
/media/ullmann/hdd/research/engines/Piccolo/engine/3rdparty/glm/glm/gtx/extended_min_max.hpp,3,1,4
/media/ullmann/hdd/research/engines/Piccolo/engine/3rdparty/glm/glm/glm.hpp,23,44,67
/media/ullmann/hdd/research/engines/Piccolo/engine/source/editor/source/editor_input_manager.cpp,12,0,12
/media/ullmann/hdd/research/engines/Piccolo/engine/source/runtime/core/math/quaternion.cpp,3,0,3
/media/ullmann/hdd/research/engines/Piccolo/engine/source/runtime/core/math/quaternion.h,2,8,10
/media/ullmann/hdd/research/engines/Piccolo/engine/source/runtime/function/render/passes/ui_pass.h,1,3,4
/media/ullmann/hdd/research/engines/Piccolo/engine/3rdparty/glm/glm/gtc/type_aligned.hpp,13,1,14
/media/ullmann/hdd/research/engines/Piccolo/engine/3rdparty/glm/glm/detail/type_mat2x4.hpp,3,5,8
/media/ullmann/hdd/research/engines/Piccolo/engine/3rdparty/glm/glm/detail/type_mat2x4.inl,0,1,1
/media/ullmann/hdd/research/engines/Piccolo/engine/3rdparty/glm/glm/ext/quaternion_float_precision.hpp,1,2,3
/media/ullmann/hdd/research/engines/Piccolo/engine/3rdparty/glm/glm/detail/type_quat.hpp,9,4,13
/media/ullmann/hdd/research/engines/Piccolo/engine/3rdparty/glm/glm/ext/vector_integer.hpp,6,1,7
/media/ullmann/hdd/research/engines/Piccolo/engine/3rdparty/glm/glm/common.hpp,3,15,18
/media/ullmann/hdd/research/engines/Piccolo/engine/3rdparty/glm/glm/gtx/scalar_multiplication.hpp,5,1,6
/media/ullmann/hdd/research/engines/Piccolo/engine/3rdparty/glm/glm/ext/matrix_int3x2_sized.hpp,2,1,3
/media/ullmann/hdd/research/engines/Piccolo/engine/3rdparty/glm/glm/mat3x2.hpp,4,10,14
/media/ullmann/hdd/research/engines/Piccolo/engine/source/editor/source/editor_scene_manager.cpp,12,0,12
/media/ullmann/hdd/research/engines/Piccolo/engine/source/runtime/engine.h,0,12,12
/media/ullmann/hdd/research/engines/Piccolo/engine/source/runtime/core/math/math_headers.h,11,3,14
/media/ullmann/hdd/research/engines/Piccolo/engine/3rdparty/glm/glm/gtx/common.hpp,5,0,5
/media/ullmann/hdd/research/engines/Piccolo/engine/3rdparty/glm/glm/ext/vector_int3_sized.hpp,2,3,5
/media/ullmann/hdd/research/engines/Piccolo/engine/3rdparty/glm/glm/ext/matrix_common.hpp,3,1,4
/media/ullmann/hdd/research/engines/Piccolo/engine/3rdparty/glm/glm/ext/quaternion_transform.hpp,4,2,6
/media/ullmann/hdd/research/engines/Piccolo/engine/3rdparty/glm/glm/ext/matrix_double3x2.hpp,1,2,3
/media/ullmann/hdd/research/engines/Piccolo/engine/3rdparty/glm/glm/detail/type_mat3x2.hpp,3,5,8
/media/ullmann/hdd/research/engines/Piccolo/engine/3rdparty/glm/glm/gtx/dual_quaternion.hpp,4,4,8
/media/ullmann/hdd/research/engines/Piccolo/engine/source/runtime/function/physics/ray.h,1,2,3
/media/ullmann/hdd/research/engines/Piccolo/engine/source/runtime/core/math/vector3.h,3,27,30
